72	POz	4	10	41	0	-1	3	0.0000000	-7.829896	4.6876222	9.1258500	-1.570800	0.5394500	0.0000000	-1.522450	
67	PO3	4	11	42	-1	-1	3	-1.844644	-7.354417	5.2240017	9.2076299	-1.816550	0.6032900	-0.348130	-1.387970	
60	P1	4	12	43	-1	-1	3	-4.116929	-6.061561	5.3657572	9.0820100	-2.167420	0.6320600	-0.780720	-1.149500	
52	P3	4	13	44	-1	-1	3	-5.831241	-4.494821	4.9553476	8.8748100	-2.484900	0.5924100	-1.145730	-0.883150	
47	 	4	14	45	-1	-1	2	-6.737313	-3.011819	4.1783902	8.4806500	-2.721210	0.5151900	-1.421510	-0.635460	
41	C5	4	15	46	-1	0	2	-6.905051	-0.800953	4.6000565	8.3355700	-3.026110	0.5845900	-1.448110	-0.167970	
35	 	4	16	47	-1	1	2	-6.414469	1.4900277	4.7417945	8.1148100	2.9133500	0.6240600	-1.364750	0.3170200	
28	FC5	4	17	48	-1	1	1	-5.546670	4.1578478	4.6276157	8.3347500	2.4983400	0.5886300	-1.161840	0.8709300	
24	F3	4	18	49	-1	1	1	-4.459387	6.0211599	4.3653214	8.6715900	2.2082700	0.5275300	-0.916240	1.2371199	
19	F1	4	19	50	-1	1	1	-2.868837	7.1457085	4.9895645	9.1753499	1.9525800	0.5749600	-0.548290	1.3656800	
16	AFz	5	0	51	0	1	1	0.0000000	9.0764907	3.1054384	9.5930400	1.5708000	0.3296600	0.0000000	1.8189900	
10	 	5	1	52	1	1	1	1.8308823	8.7088391	3.1870911	9.4527000	1.3635800	0.3439000	0.3701300	1.7605800	
3	AF4	5	2	53	1	1	1	3.8641224	7.6342405	3.0677701	9.0897900	1.1022400	0.3442600	0.8122400	1.6047200	
123	F6	5	3	54	1	1	1	5.6825479	5.4533843	2.8365654	8.3711900	0.7648200	0.3456900	1.2962300	1.2439600	
116	FT8	5	4	55	1	1	1	6.8239596	2.9684221	2.4300803	7.8283600	0.4103100	0.3156300	1.6859600	0.7333900	
109	 	5	5	56	1	1	10	7.3919192	0.0321515	2.1436345	7.6965400	0.0043500	0.2822500	1.8850200	0.0082000	
102	TP8	5	6	57	1	-1	5	7.3125179	-2.298574	2.3852988	8.0278299	-0.304550	0.3016800	1.7725000	-0.557160	
97	 	5	7	58	1	-1	3	6.5580300	-4.667036	2.7499895	8.5059599	-0.618500	0.3292200	1.4825200	-1.055039	
91	 	5	8	59	1	-1	3	5.2045018	-6.437833	2.9844442	8.7999700	-0.890940	0.3460100	1.1291900	-1.396780	
84	 	5	9	60	1	-1	3	3.6082931	-7.665487	3.1299316	9.0319400	-1.130850	0.3538800	0.7602600	-1.615110	
76	 	5	10	61	1	-1	3	1.4049674	-8.437486	3.2772849	9.1600100	-1.405800	0.3658900	0.2904400	-1.744240	
71	 	5	11	62	-1	-1	3	-1.404967	-8.437486	3.2772849	9.1600100	-1.735800	0.3658900	-0.290440	-1.744240	
66	 	5	12	63	-1	-1	3	-3.608293	-7.665487	3.1299316	9.0319400	-2.010750	0.3538800	-0.760260	-1.615110	
59	 	5	13	64	-1	-1	3	-5.204501	-6.437833	2.9844442	8.7999700	-2.250650	0.3460100	-1.129190	-1.396780	
51	 	5	14	65	-1	-1	3	-6.558030	-4.667036	2.7499895	8.5059599	-2.523090	0.3292200	-1.482520	-1.055039	
